DEPARTAMENTO,MUNICIPIO,ESTADOS,VELOCIDAD_SUBIDA,VELOCIDAD_BAJADA,TRAFICO_MENSUAL_SUBIDA,TRAFICO_MENSUAL_BAJADA,USUARIOS_ACTIVOS_MES,INVERSION,ZONA,DIFICULTADACCESO,TIPO_CONECTIVIDAD
SANTANDER,AGUADA,OPERACION,30.0,30.0,3.9150390625,83.20703125,20,65915373.47,URBANA,,
ANTIOQUIA,GOMEZ PLATA,OPERACION,30.0,30.0,12.3349609375,49.4541015625,97,65915373.47,URBANA,,
BOYACA,SAMACA,OPERACION,30.0,30.0,3.3173828125,28.0908203125,30,65915373.47,URBANA,,
CUNDINAMARCA,LA PALMA,OPERACION,30.0,30.0,11.57421875,90.896484375,89,65915373.47,URBANA,,
BOYACA,CIENEGA,OPERACION,30.0,30.0,12.177734375,148.0302734375,31,65915373.47,URBANA,,
CORDOBA,CANALETE,OPERACION,30.0,30.0,42.3486328125,460.337890625,117,65915373.47,URBANA,,
TOLIMA,PLANADAS,OPERACION,30.0,30.0,3.3037109375,32.5458984375,54,65915373.47,URBANA,,
META,FUENTE DE ORO,OPERACION,20.0,20.0,8.21875,112.4365234375,29,53963793.0,URBANA,,
ANTIOQUIA,BURITICA,OPERACION,30.0,30.0,10.0009765625,114.64453125,89,65915373.47,URBANA,,
META,GUAMAL,OPERACION,30.0,30.0,7.4521484375,86.6513671875,98,65915373.47,URBANA,,
BOYACA,GACHANTIVA,OPERACION,30.0,30.0,7.72265625,83.6552734375,13,65915373.47,URBANA,,
CUNDINAMARCA,ANAPOIMA,OPERACION,20.0,20.0,16.15234375,135.4013671875,89,53963793.0,URBANA,,
META,SAN CARLOS DE GUAROA,OPERACION,30.0,30.0,9.677734375,171.80078125,42,65915373.47,URBANA,,
SANTANDER,SIMACOTA,OPERACION,30.0,30.0,8.2744140625,123.8349609375,66,65915373.47,URBANA,,
SANTANDER,CONCEPCION,OPERACION,30.0,30.0,4.599609375,76.9658203125,30,65915373.47,URBANA,,
ANTIOQUIA,URAMITA,OPERACION,30.0,30.0,10.4775390625,144.9306640625,47,65915373.47,URBANA,,
CUNDINAMARCA,CACHIPAY,OPERACION,30.0,30.0,8.8115234375,109.37109375,48,65915373.47,URBANA,,
BOYACA,TOGsI,OPERACION,30.0,30.0,36.9775390625,430.7041015625,139,65915373.47,URBANA,,
SANTANDER,PARAMO,OPERACION,30.0,30.0,12.6240234375,166.919921875,62,65915373.47,URBANA,,
HUILA,PALERMO,OPERACION,20.0,20.0,7.8173828125,144.2626953125,71,53963793.0,URBANA,,
CAQUETA,EL PAUJIL,OPERACION,30.0,30.0,7.0029296875,136.3447265625,18,65915373.47,URBANA,,
HUILA,TIMANA,OPERACION,30.0,30.0,17.4306640625,293.19140625,206,65915373.47,URBANA,,
SANTANDER,GUACA,OPERACION,30.0,30.0,6.12890625,87.154296875,41,65915373.47,URBANA,,
RISARALDA,BELEN DE UMBRIA,OPERACION,20.0,20.0,6.4775390625,39.7451171875,4,53963793.0,URBANA,,
SANTANDER,HATO,OPERACION,30.0,30.0,2.291015625,38.6953125,19,65915373.47,URBANA,,
BOYACA,GARAGOA,OPERACION,20.0,20.0,0.248046875,3.0009765625,5,53963793.0,URBANA,,
BOLIVAR,MORALES,OPERACION,30.0,30.0,18.91015625,212.2958984375,54,65915373.47,URBANA,,
CHOCO,MEDIO SAN JUAN,OPERACION,30.0,30.0,3.083984375,47.326171875,27,65915373.47,URBANA,,
CAQUETA,SAN JOSE DEL FRAGUA,OPERACION,30.0,30.0,5.212890625,115.767578125,12,65915373.47,URBANA,,
BOLIVAR,MARGARITA,OPERACION,30.0,30.0,2.5927734375,25.4970703125,18,65915373.47,URBANA,,
CUNDINAMARCA,VIANI,OPERACION,30.0,30.0,6.837890625,98.3671875,76,65915373.47,URBANA,,
NARIÑO,CUASPUD,OPERACION,30.0,30.0,2.38671875,36.08984375,46,65915373.47,URBANA,,
MAGDALENA,REMOLINO,OPERACION,30.0,30.0,15.6494140625,320.1689453125,74,65915373.47,URBANA,,
ANTIOQUIA,SAN ROQUE,OPERACION,20.0,20.0,1.6240234375,20.8173828125,31,53963793.0,URBANA,,
NORTE DE SANTANDER,DURANIA,OPERACION,30.0,30.0,6.994140625,75.1962890625,18,65915373.47,URBANA,,
GUAVIARE,CALAMAR,OPERACION,30.0,30.0,6.3740234375,126.529296875,53,65915373.47,URBANA,,
BOLIVAR,SANTA ROSA,OPERACION,20.0,20.0,14.6376953125,158.787109375,51,53963793.0,URBANA,,
LA GUAJIRA,DIBULLA,OPERACION,20.0,20.0,14.078125,187.609375,22,53963793.0,URBANA,,
TOLIMA,ICONONZO,OPERACION,30.0,30.0,8.8369140625,148.7890625,52,65915373.47,URBANA,,
CUNDINAMARCA,CHOCONTA,OPERACION,20.0,20.0,1.4228515625,12.267578125,37,53963793.0,URBANA,,
BOYACA,SAN EDUARDO,OPERACION,30.0,30.0,7.9169921875,92.673828125,21,65915373.47,URBANA,,
ANTIOQUIA,VALDIVIA,OPERACION,30.0,30.0,5.6025390625,144.7861328125,46,65915373.47,URBANA,,
SANTANDER,PALMAS DEL SOCORRO,OPERACION,30.0,30.0,3.6884765625,55.7587890625,17,65915373.47,URBANA,,
SUCRE,GALERAS,OPERACION,30.0,30.0,15.494140625,278.3330078125,15,65915373.47,URBANA,,
RISARALDA,BALBOA,OPERACION,30.0,30.0,9.6689453125,140.0712890625,25,65915373.47,URBANA,,
META,MESETAS,OPERACION,30.0,30.0,4.5078125,68.1640625,21,65915373.47,URBANA,,
RISARALDA,MARSELLA,OPERACION,30.0,30.0,0.115234375,1.466796875,0,65915373.47,URBANA,,
CUNDINAMARCA,EL COLEGIO,OPERACION,20.0,20.0,6.2646484375,83.65625,17,53963793.0,URBANA,,
CUNDINAMARCA,SILVANIA,OPERACION,20.0,20.0,7.2060546875,71.70703125,60,53963793.0,URBANA,,
SUCRE,PALMITO,OPERACION,30.0,30.0,3.8828125,86.6337890625,18,65915373.47,URBANA,,
